Nome do Produto,Classifica√ß√£o do Produto,PreÁo do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Base l√≠quida,Roupas,38.01,77,Filial 5,2023-04-03 03:29:53.201930
Base l√≠quida,Roupas,86.78,90,Filial 8,2023-03-21 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,34.43,22,Filial 10,2023-03-02 03:29:53.201930
L√°pis de sobrancelha,Roupas,9.4,73,Filial 9,2023-03-23 03:29:53.201930
L√°pis de sobrancelha,Alimentos,89.25,26,Filial 4,2022-09-27 03:29:53.201930
Batom l√≠quido,Alimentos,3.45,32,Filial 1,2022-12-16 03:29:53.201930
Sombra de olhos,Alimentos,35.01,41,Filial 6,2022-08-22 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,34.93,39,Filial 8,2023-05-27 03:29:53.201930
Corretivo,Eletr√¥nicos,75.54,79,Filial 1,2022-11-07 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,53.04,26,Filial 4,2022-10-04 03:29:53.201930
Base l√≠quida,Roupas,21.85,3,Filial 7,2022-09-22 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,25.28,41,Filial 7,2022-11-03 03:29:53.201930
Delineador l√≠quido,Alimentos,27.11,10,Filial 8,2023-08-07 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,86.33,64,Filial 9,2022-11-13 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,34.32,33,Filial 4,2023-07-27 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,17.68,43,Filial 6,2023-06-13 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,66.29,86,Filial 10,2023-08-04 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,95.06,26,Filial 9,2022-12-09 03:29:53.201930
Batom matte,Eletr√¥nicos,3.2,24,Filial 8,2022-11-28 03:29:53.201930
Base l√≠quida,Alimentos,30.86,36,Filial 9,2022-12-07 03:29:53.201930
M√°scara de c√≠lios,Alimentos,18.83,95,Filial 5,2023-01-29 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,8.65,59,Filial 4,2022-10-13 03:29:53.201930
